recnumb,subj,day,scc,tri,Posevent,NegEvent,pa,na,posC,negC,paC,naC,anx,anxC
40,4,10,7,6,0.785714269,0.5,5.599999905,2.099999905,0.161904742,-0.077777779,0.579999955,0.29333326,24,-19.37807613
41,4,11,7,6,0.214285716,0.666666687,5,2.400000095,-0.40952381,0.088888907,-0.019999949,0.593333451,24,-19.37807613
42,4,12,7,6.333333492,1.071428537,0.5,4.800000191,1.799999952,0.447619011,-0.077777779,-0.219999758,-0.006666692,24,-19.37807613
43,4,13,7,5,0.5,0.833333313,4.699999809,2.099999905,-0.123809526,0.255555534,-0.32000014,0.29333326,24,-19.37807613
44,4,14,7,6.333333492,1,0.5,5.5,1.399999976,0.376190474,-0.077777779,0.480000051,-0.406666668,24,-19.37807613
45,4,15,7,6.333333492,1.214285731,0.5,5.400000095,1.200000048,0.590476205,-0.077777779,0.380000146,-0.606666597,24,-19.37807613
46,5,1,4,6,1.571428537,0.25,4.199999809,3.799999952,1.02063488,-0.200000003,0.346666495,0.093333244,56,12.62192387
47,5,2,4.25,4,0.690476239,0.916666687,3.200000048,4.300000191,0.139682581,0.466666683,-0.653333267,0.593333483,56,12.62192387
48,5,3,3.25,5.333333492,0.142857149,0.416666657,3.700000048,2.900000095,-0.407936508,-0.033333347,-0.153333267,-0.806666613,56,12.62192387
49,5,4,5,5,0.285714298,0.083333336,2.900000095,3.599999905,-0.265079359,-0.366666668,-0.953333219,-0.106666803,56,12.62192387
50,5,5,5,6,0.928571403,0.25,5,1.700000048,0.377777745,-0.200000003,1.146666686,-2.00666666,56,12.62192387
51,5,6,3.75,3.333333254,0.428571433,0.666666687,4.099999905,2.599999905,-0.122222225,0.216666683,0.24666659,-1.106666803,56,12.62192387
52,5,7,4,4,0.5,0.333333343,2.599999905,3.900000095,-0.050793658,-0.11666666,-1.25333341,0.193333387,56,12.62192387
53,5,8,4,5,0.571428597,0.583333313,4.599999905,3.700000048,0.020634939,0.13333331,0.74666659,-0.00666666,56,12.62192387
54,5,9,5,4.333333492,0.5,0.666666687,4,5.800000191,-0.050793658,0.216666683,0.146666686,2.093333483,56,12.62192387
55,5,10,3.5,4,0,0,2.700000048,4.5,-0.550793658,-0.450000003,-1.153333267,0.793333292,56,12.62192387
56,5,11,3,5.333333492,0.571428597,0.666666687,5.099999905,3.299999952,0.020634939,0.216666683,1.24666659,-0.406666756,56,12.62192387
57,5,12,2.75,5.666666508,0.5,0.5,3.700000048,5.800000191,-0.050793658,0.049999997,-0.153333267,2.093333483,56,12.62192387
58,5,13,3.75,3,0,0,2.299999952,2.700000048,-0.550793658,-0.450000003,-1.553333362,-1.00666666,56,12.62192387
59,5,14,4,4.333333492,0.142857149,1,3.700000048,4.5,-0.407936508,0.549999997,-0.153333267,0.793333292,56,12.62192387
60,5,15,5.5,5.666666508,1.428571463,0.416666657,6,2.5,0.877777805,-0.033333347,2.146666686,-1.206666708,56,12.62192387
61,6,1,5,2,0.5,1.333333373,2.299999952,5.199999809,-0.304761903,0.788888931,0.093333316,1.559999895,71,27.62192387
62,6,2,5,2.666666746,1.071428537,0.416666657,2.099999905,3.299999952,0.266666634,-0.127777785,-0.106666732,-0.339999962,71,27.62192387
63,6,3,6,3.666666746,0.571428597,0,2.400000095,2.299999952,-0.233333307,-0.544444442,0.193333459,-1.339999962,71,27.62192387
64,6,4,6,4.666666508,0.928571403,0.583333313,2.799999952,5.099999905,0.1238095,0.038888872,0.593333316,1.45999999,71,27.62192387
65,6,5,5,4,1.071428537,0.5,2.700000048,3.599999905,0.266666634,-0.044444442,0.493333411,-0.04000001,71,27.62192387
66,6,6,5,5,0.571428597,0.75,2.299999952,2.799999952,-0.233333307,0.205555558,0.093333316,-0.839999962,71,27.62192387
67,6,7,6,2,0.428571433,1.166666627,1.899999976,4.699999809,-0.376190471,0.622222185,-0.30666666,1.059999895,71,27.62192387
68,6,8,6,4.666666508,1.5,0.25,2.099999905,3,0.695238097,-0.294444442,-0.106666732,-0.639999914,71,27.62192387
69,6,9,6,4.333333492,0.714285731,0.333333343,2.200000048,3,-0.090476172,-0.211111099,-0.006666589,-0.639999914,71,27.62192387
70,6,10,6,3.333333254,0.642857134,0.5,2.099999905,4.099999905,-0.161904769,-0.044444442,-0.106666732,0.45999999,71,27.62192387
71,6,11,6,3,1.428571463,0,2.099999905,3.5,0.623809559,-0.544444442,-0.106666732,-0.139999914,71,27.62192387
72,6,12,6,4.666666508,0.857142866,0,2.099999905,2.599999905,0.052380962,-0.544444442,-0.106666732,-1.04000001,71,27.62192387
73,6,13,6,1.333333373,0.214285716,1.5,2,4.699999809,-0.590476187,0.955555558,-0.206666636,1.059999895,71,27.62192387
74,6,14,6,4.333333492,0.928571403,0.25,2,2.599999905,0.1238095,-0.294444442,-0.206666636,-1.04000001,71,27.62192387
75,6,15,6,3,0.642857134,0.583333313,2,4.099999905,-0.161904769,0.038888872,-0.206666636,0.45999999,71,27.62192387
76,7,1,3,5,2.285714388,0.833333313,3.299999952,2.299999952,0.533333438,0.505555536,-0.606666692,0.459999943,38.70585251,-4.672223619
77,7,2,3.5,4.666666508,2.214285612,0.916666687,3.799999952,1.299999952,0.461904662,0.588888909,-0.106666692,-0.540000057,38.70585251,-4.672223619
78,7,3,3.25,4.333333492,1.928571463,0.666666687,3.599999905,2.900000095,0.176190512,0.338888909,-0.30666674,1.060000086,38.70585251,-4.672223619
79,7,4,3.5,5.666666508,0.214285716,0,4.199999809,2,-1.538095234,-0.327777777,0.293333165,0.15999999,38.70585251,-4.672223619
80,7,5,5,7,1.642857194,0,4.599999905,1,-0.109523756,-0.327777777,0.69333326,-0.84000001,38.70585251,-4.672223619
81,7,6,3.25,5,1.571428537,1.416666627,2.700000048,2.900000095,-0.180952413,1.08888885,-1.206666597,1.060000086,38.70585251,-4.672223619
82,7,7,3.25,6,1.642857194,0.166666672,3.5,3.099999905,-0.109523756,-0.161111105,-0.406666644,1.259999895,38.70585251,-4.672223619
83,7,8,4,6,1.714285731,0.166666672,3.799999952,1.700000048,-0.038095219,-0.161111105,-0.106666692,-0.139999962,38.70585251,-4.672223619
84,7,9,4,6,1.642857194,0.5,3.5,2.5,-0.109523756,0.172222223,-0.406666644,0.65999999,38.70585251,-4.672223619
85,7,10,5,6,1.857142806,0.25,4.599999905,1,0.104761856,-0.077777777,0.69333326,-0.84000001,38.70585251,-4.672223619
86,7,11,3,6.333333492,1.714285731,0,5,1,-0.038095219,-0.327777777,1.093333356,-0.84000001,38.70585251,-4.672223619
87,7,12,3.75,6,1.785714269,0,4.400000095,2.200000048,0.033333318,-0.327777777,0.493333451,0.360000038,38.70585251,-4.672223619
88,7,13,7,6,2.071428537,0,4.300000191,1,0.319047587,-0.327777777,0.393333546,-0.84000001,38.70585251,-4.672223619
89,7,14,7,6,2.642857075,0,3.700000048,1,0.890476124,-0.327777777,-0.206666597,-0.84000001,38.70585251,-4.672223619
90,7,15,5.5,5,1.357142806,0,3.599999905,1.700000048,-0.395238144,-0.327777777,-0.30666674,-0.139999962,38.70585251,-4.672223619
91,8,1,5.5,5.666666508,1.928571463,0,3.799999952,1.799999952,0.849702409,-0.291666666,-0.506250039,-0.543750033,38,-5.378076127
92,8,2,5.5,5.333333492,1.285714269,0.583333313,3.400000095,2.5,0.206845215,0.291666648,-0.906249896,0.156250015,38,-5.378076127
93,8,3,5.75,5.333333492,1.142857194,0.583333313,4.300000191,2.200000048,0.06398814,0.291666648,-0.0062498,-0.143749937,38,-5.378076127
94,8,4,4,2.666666746,0.571428597,0.75,2.900000095,5.599999905,-0.507440457,0.458333334,-1.406249896,3.25624992,38,-5.378076127
95,8,5,3,2.666666746,0,1.083333373,2.5,4.099999905,-1.078869054,0.791666707,-1.806249991,1.75624992,38,-5.378076127
96,8,6,4,6,1.642857194,0,5.400000095,2,0.56398814,-0.291666666,1.093750104,-0.343749985,38,-5.378076127
